Semester,Program Code,Program Short Name,Course Code,Course Name,Credit,ECTS Credit,Course Section,Capacity,Day1,Start Hour1,End Hour1,Instructor Name,Instructor Title
2021-2022 Fall,909,MMI,9090505,GAME DEVELOPMENT PIPELINE,3,8.0,1,22,Thursday,13:40,16:30,ELİF SÜRER,Assoc.Prof.Dr.
2021-2022 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,1,5,,,,HANDE ALEMDAR,Assoc.Prof.Dr.
2021-2022 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,2,5,,,,KÜRŞAT ÇAĞILTAY,Prof.Dr.
2021-2022 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,3,15,,,,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2021-2022 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,4,5,,,,UĞUR HALICI,Prof.Dr.
2021-2022 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,5,5,,,,AHMET OĞUZ AKYÜZ,Prof.Dr.
2021-2022 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,6,15,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2021-2022 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,7,5,,,,CENGİZ ACARTÜRK,Assoc.Prof.Dr.
2021-2022 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,8,5,,,,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
2021-2022 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,9,5,,,,GÖKNUR KAPLAN,Assoc.Prof.Dr.
2021-2022 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,10,5,,,,YUSUF SAHİLLİOĞLU,Prof.Dr.
2021-2022 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,11,15,,,,ELİF SÜRER,Assoc.Prof.Dr.
2021-2022 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,12,5,,,,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
2021-2022 Fall,909,MMI,9090699,PH.D. THESIS,0,130.0,1,5,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2021-2022 Fall,909,MMI,9090699,PH.D. THESIS,0,130.0,2,5,,,,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2021-2022 Fall,909,MMI,9090699,PH.D. THESIS,0,130.0,3,5,,,,ELİF SÜRER,Assoc.Prof.Dr.
2021-2022 Fall,909,MMI,9090701,MULTIMEDIA SIGNAL PROCESSING,3,8.0,1,20,Tuesday,09:40,12:30,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2021-2022 Fall,909,MMI,9090702,MACHINE LEARNING FOR MULTIMEDIA INFORMATICS,3,8.0,1,21,Thursday,09:40,12:30,ELİF SÜRER,Assoc.Prof.Dr.
2021-2022 Fall,909,MMI,9090703,COMMUNICATION ACOUSTICS,3,8.0,1,20,Thursday,09:40,12:30,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2021-2022 Fall,909,MMI,9090711,SEQUENCE MODELS IN MULTIMEDIA,3,8.0,1,15,Monday,09:40,12:30,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
2021-2022 Fall,909,MMI,9090712,MACHINE LEARNING SYSTEMS DESIGN AND DEPLOYMENT,3,8.0,1,20,Wednesday,13:40,16:30,ALPTEKİN TEMİZEL,Prof.Dr.
