Semester,Program Code,Program Short Name,Course Code,Course Name,Credit,ECTS Credit,Course Section,Capacity,Day1,Start Hour1,End Hour1,Instructor Name,Instructor Title
2022-2023 Spring,911,DI,9110500,RESEARCH METHODS AND ETHICS IN DATA INFORMATICS,0,10.0,1,90,Tuesday,12:40,13:30,TUĞBA TAŞKAYA TEMİZEL,Prof.Dr.
2022-2023 Spring,911,DI,9110501,INTRODUCTION TO DATA INFORMATICS,3,8.0,1,21,Tuesday,09:40,12:30,ALTAN KOÇYİĞİT,Prof.Dr.
2022-2023 Spring,911,DI,9110599,MASTER THESIS,0,50.0,1,5,,,,PEKİN ERHAN EREN,Prof.Dr.
2022-2023 Spring,911,DI,9110599,MASTER THESIS,0,50.0,2,5,,,,ELİF SÜRER,Assoc.Prof.Dr.
2022-2023 Spring,911,DI,9110599,MASTER THESIS,0,50.0,3,5,,,,TOLGA ESAT ÖZKURT,Assoc.Prof.Dr.
2022-2023 Spring,911,DI,9110599,MASTER THESIS,0,50.0,4,5,,,,BANU GÜNEL KILIÇ,Prof.Dr.
2022-2023 Spring,911,DI,9110599,MASTER THESIS,0,50.0,5,5,,,,ÖZDEN ÖZCAN TOP,Assist.Prof.Dr
2022-2023 Spring,911,DI,9110599,MASTER THESIS,0,50.0,6,5,,,,TUĞBA TAŞKAYA TEMİZEL,Prof.Dr.
2022-2023 Spring,911,DI,9110599,MASTER THESIS,0,50.0,7,5,,,,BURÇAK OTLU SARITAŞ,Assist.Prof.Dr
2022-2023 Spring,911,DI,9110599,MASTER THESIS,0,50.0,8,10,,,,ALTAN KOÇYİĞİT,Prof.Dr.
2022-2023 Spring,911,DI,9110599,MASTER THESIS,0,50.0,9,5,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2022-2023 Spring,911,DI,9110599,MASTER THESIS,0,50.0,10,5,,,,STAFF,-
2022-2023 Spring,911,DI,9110599,MASTER THESIS,0,50.0,11,5,,,,STAFF,-
2022-2023 Spring,911,DI,9110710,DATA ENGINEERING,3,8.0,1,22,Wednesday,13:40,16:30,PEKİN ERHAN EREN,Prof.Dr.
2022-2023 Spring,911,DI,9110722,SPATIO-TEMPORAL DATA MINING,3,8.0,1,20,Friday,13:40,16:30,BERK ANBAROĞLU,Assoc.Prof.Dr.
2022-2023 Spring,911,DI,9110801,SPECIAL STUDIES,0,10.0,1,5,,,,PEKİN ERHAN EREN,Prof.Dr.
2022-2023 Spring,911,DI,9110802,SPECIAL STUDIES,0,10.0,1,5,Tuesday,13:40,15:30,ELİF SÜRER,Assoc.Prof.Dr.
2022-2023 Spring,911,DI,9110803,SPECIAL STUDIES,0,10.0,1,5,,,,TOLGA ESAT ÖZKURT,Assoc.Prof.Dr.
2022-2023 Spring,911,DI,9110804,SPECIAL STUDIES,0,10.0,1,5,,,,BANU GÜNEL KILIÇ,Prof.Dr.
2022-2023 Spring,911,DI,9110805,SPECIAL STUDIES,0,10.0,1,5,,,,ÖZDEN ÖZCAN TOP,Assist.Prof.Dr
2022-2023 Spring,911,DI,9110806,SPECIAL STUDIES,0,10.0,1,5,Wednesday,13:40,17:30,TUĞBA TAŞKAYA TEMİZEL,Prof.Dr.
2022-2023 Spring,911,DI,9110807,SPECIAL STUDIES,0,10.0,1,5,,,,BURÇAK OTLU SARITAŞ,Assist.Prof.Dr
2022-2023 Spring,911,DI,9110808,SPECIAL STUDIES,0,10.0,1,10,Friday,08:40,12:30,ALTAN KOÇYİĞİT,Prof.Dr.
2022-2023 Spring,911,DI,9110809,SPECIAL STUDIES,0,10.0,1,5,Wednesday,08:40,12:30,ALPTEKİN TEMİZEL,Prof.Dr.
2022-2023 Spring,911,DI,9110810,SPECIAL STUDIES,0,10.0,1,5,,,,STAFF,-
2022-2023 Spring,911,DI,9110811,SPECIAL STUDIES,0,10.0,1,5,,,,STAFF,-
