Semester,Program Code,Program Short Name,Course Code,Course Name,Credit,ECTS Credit,Course Section,Capacity,Day1,Start Hour1,End Hour1,Instructor Name,Instructor Title
2024-2025 Fall,910,CSEC,9100501,CYBER SYSTEMS AND INFORMATION SECURITY,3,8.0,1,15,Tuesday,08:40,11:30,NAZİFE BAYKAL,Prof.Dr.
2024-2025 Fall,910,CSEC,9100504,PENETRATION TESTING AND VULNERABILITY ANALYSIS,3,8.0,1,15,Tuesday,13:40,16:30,CİHANGİR TEZCAN,Assoc.Prof.Dr.
2024-2025 Fall,910,CSEC,9100507,APPLIED CRYPTOLOGY,3,8.0,1,25,Wednesday,09:40,12:30,CİHANGİR TEZCAN,Assoc.Prof.Dr.
2024-2025 Fall,910,CSEC,9100513,LIGHTWEIGHT CRYPTOGRAPHY FOR THE INTERNET OF THINGS,3,8.0,1,25,Wednesday,13:40,16:30,CİHANGİR TEZCAN,Assoc.Prof.Dr.
2024-2025 Fall,910,CSEC,9100522,CYBER WARFARE,3,8.0,1,20,Friday,13:40,16:30,HASAN ÇİFCİ,Assist.Prof.Dr
2024-2025 Fall,910,CSEC,9100525,DIGITAL PRIVACY,3,8.0,1,15,Friday,09:40,12:30,FATİH ÖĞMEN,Lecturer
2024-2025 Fall,910,CSEC,9100528,MACHINE LEARNING DESIGN AND APPLICATION FOR CYBER SECURITY,3,8.0,1,15,Tuesday,11:40,12:30,NAZİFE BAYKAL,Prof.Dr.
2024-2025 Fall,910,CSEC,9100589,TERM PROJECT,0,20.0,1,10,,,,AYBAR CAN ACAR,Assist.Prof.Dr
2024-2025 Fall,910,CSEC,9100589,TERM PROJECT,0,20.0,2,1,,,,BANU GÜNEL KILIÇ,Prof.Dr.
2024-2025 Fall,910,CSEC,9100589,TERM PROJECT,0,20.0,3,0,,,,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
2024-2025 Fall,910,CSEC,9100589,TERM PROJECT,0,20.0,4,20,,,,CİHANGİR TEZCAN,Assoc.Prof.Dr.
2024-2025 Fall,910,CSEC,9100589,TERM PROJECT,0,20.0,5,5,,,,NAZİFE BAYKAL,Prof.Dr.
2024-2025 Fall,910,CSEC,9100591,CYBERSECURITY PRIMER I,1,5.0,1,10,Monday,12:40,13:30,AYBAR CAN ACAR,Assist.Prof.Dr
2024-2025 Fall,910,CSEC,9100599,M.S. THESIS,0,50.0,1,10,,,,AYBAR CAN ACAR,Assist.Prof.Dr
2024-2025 Fall,910,CSEC,9100599,M.S. THESIS,0,50.0,2,5,,,,BANU GÜNEL KILIÇ,Prof.Dr.
2024-2025 Fall,910,CSEC,9100599,M.S. THESIS,0,50.0,3,5,,,,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
2024-2025 Fall,910,CSEC,9100599,M.S. THESIS,0,50.0,4,20,,,,CİHANGİR TEZCAN,Assoc.Prof.Dr.
2024-2025 Fall,910,CSEC,9100599,M.S. THESIS,0,50.0,5,20,,,,NAZİFE BAYKAL,Prof.Dr.
2024-2025 Fall,910,CSEC,9100801,SPECIAL STUDIES,0,10.0,1,10,,,,AYBAR CAN ACAR,Assist.Prof.Dr
2024-2025 Fall,910,CSEC,9100802,SPECIAL STUDIES,0,10.0,1,5,,,,BANU GÜNEL KILIÇ,Prof.Dr.
2024-2025 Fall,910,CSEC,9100803,SPECIAL STUDIES,0,10.0,1,5,,,,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
2024-2025 Fall,910,CSEC,9100804,SPECIAL STUDIES,0,10.0,1,20,Monday,13:40,17:30,CİHANGİR TEZCAN,Assoc.Prof.Dr.
2024-2025 Fall,910,CSEC,9100805,SPECIAL STUDIES,0,10.0,1,20,,,,NAZİFE BAYKAL,Prof.Dr.
