Semester,Program Code,Program Short Name,Course Code,Course Name,Credit,ECTS Credit,Course Section,Capacity,Day1,Start Hour1,End Hour1,Instructor Name,Instructor Title
2024-2025 Fall,911,DI,9110501,INTRODUCTION TO DATA INFORMATICS,3,8.0,1,21,Thursday,13:40,16:30,ALTAN KOÇYİĞİT,Prof.Dr.
2024-2025 Fall,911,DI,9110502,DATA INFORMATICS PROJECT,3,8.0,1,21,Wednesday,09:40,12:30,TUĞBA TAŞKAYA TEMİZEL,Prof.Dr.
2024-2025 Fall,911,DI,9110504,FOUNDATIONS OF DEEP LEARNING,3,8.0,1,30,Thursday,09:40,12:30,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
2024-2025 Fall,911,DI,9110590,GRADUATE SEMINAR,0,10.0,1,90,Wednesday,12:40,13:30,UMUT ŞENER,Res.Dr.
2024-2025 Fall,911,DI,9110592,MATHEMATICS FOR DATA INFORMATICS,3,8.0,1,20,Friday,09:40,12:30,SERKAN KAYGIN,Lecturer Dr.
2024-2025 Fall,911,DI,9110599,MASTER THESIS,0,50.0,1,20,,,,PEKİN ERHAN EREN,Prof.Dr.
2024-2025 Fall,911,DI,9110599,MASTER THESIS,0,50.0,2,20,,,,ELİF SÜRER,Assoc.Prof.Dr.
2024-2025 Fall,911,DI,9110599,MASTER THESIS,0,50.0,3,20,,,,TOLGA ESAT ÖZKURT,Assoc.Prof.Dr.
2024-2025 Fall,911,DI,9110599,MASTER THESIS,0,50.0,4,20,,,,BANU GÜNEL KILIÇ,Prof.Dr.
2024-2025 Fall,911,DI,9110599,MASTER THESIS,0,50.0,5,20,,,,ÖZDEN ÖZCAN TOP,Assist.Prof.Dr
2024-2025 Fall,911,DI,9110599,MASTER THESIS,0,50.0,6,20,,,,TUĞBA TAŞKAYA TEMİZEL,Prof.Dr.
2024-2025 Fall,911,DI,9110599,MASTER THESIS,0,50.0,7,20,,,,BURÇAK OTLU SARITAŞ,Assist.Prof.Dr
2024-2025 Fall,911,DI,9110599,MASTER THESIS,0,50.0,8,20,,,,ALTAN KOÇYİĞİT,Prof.Dr.
2024-2025 Fall,911,DI,9110599,MASTER THESIS,0,50.0,9,20,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2024-2025 Fall,911,DI,9110599,MASTER THESIS,0,50.0,10,20,,,,BARBAROS YET,Assoc.Prof.Dr.
2024-2025 Fall,911,DI,9110599,MASTER THESIS,0,50.0,11,20,,,,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
2024-2025 Fall,911,DI,9110710,DATA ENGINEERING,3,8.0,1,20,Wednesday,13:40,16:30,PEKİN ERHAN EREN,Prof.Dr.
2024-2025 Fall,911,DI,9110728,Data Analytics Applications in Gaming and Entertainment,3,8.0,1,20,Thursday,13:40,16:30,ELİF SÜRER,Assoc.Prof.Dr.
2024-2025 Fall,911,DI,9110801,SPECIAL STUDIES,0,10.0,1,20,,,,PEKİN ERHAN EREN,Prof.Dr.
2024-2025 Fall,911,DI,9110802,SPECIAL STUDIES,0,10.0,1,20,,,,ELİF SÜRER,Assoc.Prof.Dr.
2024-2025 Fall,911,DI,9110803,SPECIAL STUDIES,0,10.0,1,20,,,,TOLGA ESAT ÖZKURT,Assoc.Prof.Dr.
2024-2025 Fall,911,DI,9110804,SPECIAL STUDIES,0,10.0,1,20,,,,BANU GÜNEL KILIÇ,Prof.Dr.
2024-2025 Fall,911,DI,9110805,SPECIAL STUDIES,0,10.0,1,20,,,,ÖZDEN ÖZCAN TOP,Assist.Prof.Dr
2024-2025 Fall,911,DI,9110806,SPECIAL STUDIES,0,10.0,1,20,Monday,13:40,17:30,TUĞBA TAŞKAYA TEMİZEL,Prof.Dr.
2024-2025 Fall,911,DI,9110807,SPECIAL STUDIES,0,10.0,1,20,,,,BURÇAK OTLU SARITAŞ,Assist.Prof.Dr
2024-2025 Fall,911,DI,9110808,SPECIAL STUDIES,0,10.0,1,20,,,,ALTAN KOÇYİĞİT,Prof.Dr.
2024-2025 Fall,911,DI,9110809,SPECIAL STUDIES,0,10.0,1,20,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2024-2025 Fall,911,DI,9110810,SPECIAL STUDIES,0,10.0,1,20,,,,BARBAROS YET,Assoc.Prof.Dr.
2024-2025 Fall,911,DI,9110811,SPECIAL STUDIES,0,10.0,1,20,,,,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
