Semester,Program Code,Program Short Name,Course Code,Course Name,Credit,ECTS Credit,Course Section,Capacity,Day1,Start Hour1,End Hour1,Instructor Name,Instructor Title
2022-2023 Spring,909,MMI,9090513,ALGORITHMS FOR INTERACTIVE SYSTEMS,3,8.0,1,25,Thursday,09:40,12:30,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2022-2023 Spring,909,MMI,9090522,PROCEDURAL SOUND DESIGN,3,8.0,1,15,Monday,09:40,12:30,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2022-2023 Spring,909,MMI,9090541,PHYSICS FOR COMPUTER GAMES,3,8.0,1,17,Thursday,13:40,16:30,ELİF SÜRER,Assoc.Prof.Dr.
2022-2023 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,1,0,,,,STAFF,-
2022-2023 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,2,0,,,,STAFF,-
2022-2023 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,3,15,,,,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2022-2023 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,4,0,,,,STAFF,-
2022-2023 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,5,5,,,,AHMET OĞUZ AKYÜZ,Prof.Dr.
2022-2023 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,6,15,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2022-2023 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,7,5,,,,HANDE ALEMDAR,Assoc.Prof.Dr.
2022-2023 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,8,0,,,,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
2022-2023 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,9,5,,,,GÖKNUR KAPLAN,Assoc.Prof.Dr.
2022-2023 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,10,5,,,,YUSUF SAHİLLİOĞLU,Prof.Dr.
2022-2023 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,11,15,,,,ELİF SÜRER,Assoc.Prof.Dr.
2022-2023 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,12,5,,,,SANİYE TUĞBA TOKEL,Prof.Dr.
2022-2023 Spring,909,MMI,9090699,PH.D. THESIS,0,130.0,1,10,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2022-2023 Spring,909,MMI,9090699,PH.D. THESIS,0,130.0,2,10,,,,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2022-2023 Spring,909,MMI,9090699,PH.D. THESIS,0,130.0,3,10,,,,ELİF SÜRER,Assoc.Prof.Dr.
2022-2023 Spring,909,MMI,9090699,PH.D. THESIS,0,130.0,4,0,,,,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
2022-2023 Spring,909,MMI,9090706,REINFORCEMENT LEARNING,3,8.0,1,25,Thursday,09:40,12:30,ELİF SÜRER,Assoc.Prof.Dr.
2022-2023 Spring,909,MMI,9090713,APPLIED PARALLEL PROGRAMMING ON GPU,3,8.0,1,21,Monday,13:40,16:30,ALPTEKİN TEMİZEL,Prof.Dr.
2022-2023 Spring,909,MMI,9090727,DEEP LEARNING: METHODS AND APPLICATIONS,3,8.0,1,23,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2022-2023 Spring,909,MMI,9090801,SPECIAL STUDIES,0,10.0,1,0,,,,STAFF,-
2022-2023 Spring,909,MMI,9090802,SPECIAL STUDIES,0,10.0,1,0,,,,STAFF,-
