Semester,Program Code,Program Short Name,Course Code,Course Name,Credit,ECTS Credit,Course Section,Capacity,Day1,Start Hour1,End Hour1,Instructor Name,Instructor Title
2021-2022 Spring,911,DI,9110501,INTRODUCTION TO DATA INFORMATICS,3,8.0,1,16,Tuesday,09:40,12:30,ALTAN KOÇYİĞİT,Prof.Dr.
2021-2022 Spring,911,DI,9110599,MASTER THESIS,0,50.0,1,5,,,,PEKİN ERHAN EREN,Prof.Dr.
2021-2022 Spring,911,DI,9110599,MASTER THESIS,0,50.0,2,5,,,,ELİF SÜRER,Assoc.Prof.Dr.
2021-2022 Spring,911,DI,9110599,MASTER THESIS,0,50.0,3,5,,,,TOLGA ESAT ÖZKURT,Assoc.Prof.Dr.
2021-2022 Spring,911,DI,9110599,MASTER THESIS,0,50.0,4,5,,,,BANU GÜNEL KILIÇ,Prof.Dr.
2021-2022 Spring,911,DI,9110599,MASTER THESIS,0,50.0,5,5,,,,ÖZDEN ÖZCAN TOP,Assist.Prof.Dr
2021-2022 Spring,911,DI,9110599,MASTER THESIS,0,50.0,6,5,,,,TUĞBA TAŞKAYA TEMİZEL,Prof.Dr.
2021-2022 Spring,911,DI,9110599,MASTER THESIS,0,50.0,7,5,,,,BURÇAK OTLU SARITAŞ,Assist.Prof.Dr
2021-2022 Spring,911,DI,9110599,MASTER THESIS,0,50.0,8,5,,,,ALTAN KOÇYİĞİT,Prof.Dr.
2021-2022 Spring,911,DI,9110801,SPECIAL STUDIES,0,10.0,1,5,,,,PEKİN ERHAN EREN,Prof.Dr.
2021-2022 Spring,911,DI,9110802,SPECIAL STUDIES,0,10.0,1,5,,,,ELİF SÜRER,Assoc.Prof.Dr.
2021-2022 Spring,911,DI,9110803,SPECIAL STUDIES,0,10.0,1,5,,,,TOLGA ESAT ÖZKURT,Assoc.Prof.Dr.
2021-2022 Spring,911,DI,9110804,SPECIAL STUDIES,0,10.0,1,5,,,,BANU GÜNEL KILIÇ,Prof.Dr.
2021-2022 Spring,911,DI,9110805,SPECIAL STUDIES,0,10.0,1,5,,,,ÖZDEN ÖZCAN TOP,Assist.Prof.Dr
2021-2022 Spring,911,DI,9110806,SPECIAL STUDIES,0,10.0,1,5,,,,TUĞBA TAŞKAYA TEMİZEL,Prof.Dr.
2021-2022 Spring,911,DI,9110807,SPECIAL STUDIES,0,10.0,1,5,,,,BURÇAK OTLU SARITAŞ,Assist.Prof.Dr
2021-2022 Spring,911,DI,9110808,SPECIAL STUDIES,0,10.0,1,5,,,,ALTAN KOÇYİĞİT,Prof.Dr.
