Semester,Program Code,Program Short Name,Course Code,Course Name,Credit,ECTS Credit,Course Section,Capacity,Day1,Start Hour1,End Hour1,Instructor Name,Instructor Title
2021-2022 Fall,911,DI,9110501,INTRODUCTION TO DATA INFORMATICS,3,8.0,1,30,Monday,09:40,12:30,TUĞBA TAŞKAYA TEMİZEL,Prof.Dr.
2021-2022 Fall,911,DI,9110504,FOUNDATIONS OF DEEP LEARNING,3,8.0,1,23,Wednesday,09:40,12:30,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
2021-2022 Fall,911,DI,9110592,MATHEMATICS FOR DATA INFORMATICS,3,8.0,1,8,Friday,13:40,16:30,SERKAN KAYGIN,Lecturer Dr.
