Semester,Program Code,Program Short Name,Course Code,Course Name,Credit,ECTS Credit,Course Section,Capacity,Day1,Start Hour1,End Hour1,Instructor Name,Instructor Title
2024-2025 Fall,908,BIN,9080500,PROGRAMMING FOR INFORMATICS,3,8.0,1,20,Monday,09:40,12:30,BURÇAK OTLU SARITAŞ,Assist.Prof.Dr
2024-2025 Fall,908,BIN,9080502,STATISTICAL METHODS FOR INFORMATICS,3,8.0,1,15,Tuesday,13:40,16:30,SEHER NUR SÜLKÜ,Prof.Dr.
2024-2025 Fall,908,BIN,9080503,BIOLOGICAL DATABASES AND DATA ANALYSIS TOOLS,3,8.0,1,15,Tuesday,08:40,11:30,ESRA NALBAT,Res.Dr.
2024-2025 Fall,908,BIN,9080504,PROBABILISTIC AND STATISTICAL MODELING FOR BIOINFORMATICS,3,8.0,1,30,Friday,09:40,12:30,AYBAR CAN ACAR,Assist.Prof.Dr
2024-2025 Fall,908,BIN,9080506,PROTEIN AND DNA SEQUENCE ANALYSIS,3,8.0,1,20,Wednesday,09:40,12:30,YEŞİM AYDIN SON,Assoc.Prof.Dr.
2024-2025 Fall,908,BIN,9080508,NEXT GENERATION SEQUENCE ANALYSIS AND INFORMATICS,3,8.0,1,15,Tuesday,09:40,12:30,YEŞİM AYDIN SON,Assoc.Prof.Dr.
2024-2025 Fall,908,BIN,9080511,APPLICATIONS OF BIOINFORMATICS IN MOLECULAR BIOLOGY,3,8.0,1,15,Thursday,09:40,12:30,ESRA NALBAT,Res.Dr.
2024-2025 Fall,908,BIN,9080517,STATISTICAL LEARNING FOR BIOINFORMATICS,3,8.0,1,15,Tuesday,13:40,16:30,BURÇAK OTLU SARITAŞ,Assist.Prof.Dr
2024-2025 Fall,908,BIN,9080599,MASTERS  THESIS,0,50.0,1,15,,,,YEŞİM AYDIN SON,Assoc.Prof.Dr.
2024-2025 Fall,908,BIN,9080599,MASTERS  THESIS,0,50.0,2,15,,,,AYBAR CAN ACAR,Assist.Prof.Dr
2024-2025 Fall,908,BIN,9080599,MASTERS  THESIS,0,50.0,3,5,,,,TOLGA ESAT ÖZKURT,Assoc.Prof.Dr.
2024-2025 Fall,908,BIN,9080599,MASTERS  THESIS,0,50.0,4,15,,,,BURÇAK OTLU SARITAŞ,Assist.Prof.Dr
2024-2025 Fall,908,BIN,9080599,MASTERS  THESIS,0,50.0,5,5,,,,VİLDA PURUTÇUOĞLU,Prof.Dr.
2024-2025 Fall,908,BIN,9080599,MASTERS  THESIS,0,50.0,6,0,,,,STAFF,-
2024-2025 Fall,908,BIN,9080599,MASTERS  THESIS,0,50.0,7,0,,,,STAFF,-
2024-2025 Fall,908,BIN,9080599,MASTERS  THESIS,0,50.0,8,5,,,,MEHMET SOMEL,Prof.Dr.
2024-2025 Fall,908,BIN,9080599,MASTERS  THESIS,0,50.0,9,5,,,,AYŞEN AKKAYA,Prof.Dr.
2024-2025 Fall,908,BIN,9080801,SPECIAL STUDIES,0,10.0,1,15,Thursday,13:40,17:30,YEŞİM AYDIN SON,Assoc.Prof.Dr.
2024-2025 Fall,908,BIN,9080802,SPECIAL STUDIES,0,10.0,1,15,Wednesday,08:40,12:30,AYBAR CAN ACAR,Assist.Prof.Dr
2024-2025 Fall,908,BIN,9080803,SPECIAL STUDIES,0,10.0,1,5,Wednesday,09:40,13:30,TOLGA ESAT ÖZKURT,Assoc.Prof.Dr.
2024-2025 Fall,908,BIN,9080804,SPECIAL STUDIES,0,10.0,1,15,Wednesday,09:40,11:30,BURÇAK OTLU SARITAŞ,Assist.Prof.Dr
2024-2025 Fall,908,BIN,9080805,SPECIAL STUDIES,0,10.0,1,5,,,,VİLDA PURUTÇUOĞLU,Prof.Dr.
2024-2025 Fall,908,BIN,9080806,SPECIAL STUDIES,0,10.0,1,0,,,,STAFF,-
2024-2025 Fall,908,BIN,9080807,SPECIAL STUDIES,0,10.0,1,0,,,,STAFF,-
2024-2025 Fall,908,BIN,9080808,SPECIAL STUDIES,0,15.0,1,5,,,,MEHMET SOMEL,Prof.Dr.
2024-2025 Fall,908,BIN,9080809,SPECIAL STUDI,0,15.0,1,5,,,,AYŞEN AKKAYA,Prof.Dr.
