Semester,Program Code,Program Short Name,Course Code,Course Name,Credit,ECTS Credit,Course Section,Capacity,Day1,Start Hour1,End Hour1,Instructor Name,Instructor Title
2024-2025 Fall,906,MI,9060533,BRAIN DYNAMICS AND OSCILLATIONS,3,8.0,1,15,Tuesday,13:40,16:30,TOLGA ESAT ÖZKURT,Assoc.Prof.Dr.
2024-2025 Fall,906,MI,9060543,METHODOLOGY AND PHILOSOPHY OF NEUROSCIENCE,3,8.0,1,15,Thursday,13:40,16:30,TOLGA ESAT ÖZKURT,Assoc.Prof.Dr.
2024-2025 Fall,906,MI,9060545,OBJECT ORIENTED PROGRAMMING AND DATA STRUCTURES,3,8.0,1,15,Thursday,09:40,12:30,AYBAR CAN ACAR,Assist.Prof.Dr
2024-2025 Fall,906,MI,9060589,TERM PROJECT,0,20.0,1,0,,,,STAFF,-
2024-2025 Fall,906,MI,9060589,TERM PROJECT,0,20.0,2,0,,,,NAZİFE BAYKAL,Prof.Dr.
2024-2025 Fall,906,MI,9060589,TERM PROJECT,0,20.0,3,5,,,,YEŞİM AYDIN SON,Assoc.Prof.Dr.
2024-2025 Fall,906,MI,9060589,TERM PROJECT,0,20.0,4,0,,,,STAFF,-
2024-2025 Fall,906,MI,9060589,TERM PROJECT,0,20.0,5,5,,,,AYBAR CAN ACAR,Assist.Prof.Dr
2024-2025 Fall,906,MI,9060589,TERM PROJECT,0,20.0,6,5,,,,TOLGA ESAT ÖZKURT,Assoc.Prof.Dr.
2024-2025 Fall,906,MI,9060589,TERM PROJECT,0,20.0,7,0,,,,STAFF,-
2024-2025 Fall,906,MI,9060589,TERM PROJECT,0,20.0,8,5,,,,TUĞBA TAŞKAYA TEMİZEL,Prof.Dr.
2024-2025 Fall,906,MI,9060589,TERM PROJECT,0,20.0,9,5,,,,PEKİN ERHAN EREN,Prof.Dr.
2024-2025 Fall,906,MI,9060589,TERM PROJECT,0,20.0,10,5,,,,MURAT PERİT ÇAKIR,Assoc.Prof.Dr.
2024-2025 Fall,906,MI,9060589,TERM PROJECT,0,20.0,11,5,,,,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
2024-2025 Fall,906,MI,9060589,TERM PROJECT,0,20.0,12,5,,,,BANU GÜNEL KILIÇ,Prof.Dr.
2024-2025 Fall,906,MI,9060589,TERM PROJECT,0,20.0,13,5,,,,BURÇAK OTLU SARITAŞ,Assist.Prof.Dr
2024-2025 Fall,906,MI,9060589,TERM PROJECT,0,20.0,14,5,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2024-2025 Fall,906,MI,9060589,TERM PROJECT,0,20.0,15,5,,,,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,1,0,,,,STAFF,-
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,2,0,,,,NAZİFE BAYKAL,Prof.Dr.
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,3,15,,,,YEŞİM AYDIN SON,Assoc.Prof.Dr.
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,4,0,,,,STAFF,-
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,5,15,,,,AYBAR CAN ACAR,Assist.Prof.Dr
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,6,15,,,,TOLGA ESAT ÖZKURT,Assoc.Prof.Dr.
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,7,5,,,,VİLDA PURUTÇUOĞLU,Prof.Dr.
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,8,5,,,,TUĞBA TAŞKAYA TEMİZEL,Prof.Dr.
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,9,0,,,,STAFF,-
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,10,0,,,,STAFF,-
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,11,5,,,,PEKİN ERHAN EREN,Prof.Dr.
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,12,5,,,,ELİF SÜRER,Assoc.Prof.Dr.
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,13,5,,,,MURAT PERİT ÇAKIR,Assoc.Prof.Dr.
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,14,0,,,,STAFF,-
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,15,5,,,,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,16,15,,,,BURÇAK OTLU SARITAŞ,Assist.Prof.Dr
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,17,5,,,,BANU GÜNEL KILIÇ,Prof.Dr.
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,18,5,,,,MEHMET SOMEL,Prof.Dr.
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,19,5,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2024-2025 Fall,906,MI,9060599,MASTERS THESIS,0,50.0,20,5,,,,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
