Semester,Program Code,Program Short Name,Course Code,Course Name,Credit,ECTS Credit,Course Section,Capacity,Day1,Start Hour1,End Hour1,Instructor Name,Instructor Title
2021-2022 Spring,901,IS,9010100,INTRODUCTION TO INFORMATION TECHNOLOGIES AND APPLICATIONS,0,1.0,1,40,,,,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
2021-2022 Spring,901,IS,9010100,INTRODUCTION TO INFORMATION TECHNOLOGIES AND APPLICATIONS,0,1.0,2,40,,,,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
2021-2022 Spring,901,IS,9010100,INTRODUCTION TO INFORMATION TECHNOLOGIES AND APPLICATIONS,0,1.0,4,40,,,,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
2021-2022 Spring,901,IS,9010100,INTRODUCTION TO INFORMATION TECHNOLOGIES AND APPLICATIONS,0,1.0,5,40,,,,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
2021-2022 Spring,901,IS,9010100,INTRODUCTION TO INFORMATION TECHNOLOGIES AND APPLICATIONS,0,1.0,6,40,,,,AYSU BETİN CAN,Assoc.Prof.Dr.
2021-2022 Spring,901,IS,9010100,INTRODUCTION TO INFORMATION TECHNOLOGIES AND APPLICATIONS,0,1.0,7,40,,,,AYSU BETİN CAN,Assoc.Prof.Dr.
2021-2022 Spring,901,IS,9010100,INTRODUCTION TO INFORMATION TECHNOLOGIES AND APPLICATIONS,0,1.0,8,40,,,,AYSU BETİN CAN,Assoc.Prof.Dr.
2021-2022 Spring,901,IS,9010100,INTRODUCTION TO INFORMATION TECHNOLOGIES AND APPLICATIONS,0,1.0,9,40,,,,AYSU BETİN CAN,Assoc.Prof.Dr.
2021-2022 Spring,901,IS,9010100,INTRODUCTION TO INFORMATION TECHNOLOGIES AND APPLICATIONS,0,1.0,10,40,,,,AYSU BETİN CAN,Assoc.Prof.Dr.
2021-2022 Spring,901,IS,9010100,INTRODUCTION TO INFORMATION TECHNOLOGIES AND APPLICATIONS,0,1.0,11,40,,,,PEKİN ERHAN EREN,Prof.Dr.
