Course Code,Course Name,METU Credit,Contact (h/w),Lab (h/w),ECTS,URL
IS100,INTRODUCTION TO INFORMATION TECHNOLOGIES AND APPLICATIONS,0,0,2,1.0,course.php?prog=901&course_code=9010100
IS501,INTRODUCTION TO INFORMATION SYSTEMS,3,3,0,8.0,course.php?prog=901&course_code=9010501
IS502,INFORMATION SYSTEMS PROJECT,3,3,0,8.0,course.php?prog=901&course_code=9010502
IS503,DATA BASE CONCEPTS AND APPLICATIONS,3,3,0,8.0,course.php?prog=901&course_code=9010503
IS504,COMP.NETWORKING FOR INFOR.SYSTEMS,3,3,0,8.0,course.php?prog=901&course_code=9010504
IS507,INTRODUC.TO SOFTWARE ENG.,3,3,0,8.0,course.php?prog=901&course_code=9010507
IS508,COMPUTER SYSTEMS ORGANIZATION,3,3,0,8.0,course.php?prog=901&course_code=9010508
IS509,INTRODUCTION TO DATA SCIENCE,3,3,0,8.0,course.php?prog=901&course_code=9010509
IS514,MULTIMEDIA,3,3,0,8.0,course.php?prog=901&course_code=9010514
IS518,AGILE SOFTWARE DEVELOPMENT,3,3,0,8.0,course.php?prog=901&course_code=9010518
IS520,RESEARCH METHODS IN INFORMATION SYSTEMS,3,3,0,8.0,course.php?prog=901&course_code=9010520
IS523,OBJECT-ORIENTED ANALYSIS AND DESIGN,3,3,0,8.0,course.php?prog=901&course_code=9010523
IS524,SOFTWARE DESIGN PATTERNS,3,3,0,8.0,course.php?prog=901&course_code=9010524
IS526,SOFTWARE QUALITY MANAGEMENT,3,3,0,8.0,course.php?prog=901&course_code=9010526
IS527,SOFTWARE VERIFICATION,3,3,0,8.0,course.php?prog=901&course_code=9010527
IS528,SOFTWARE ARCHITECTURE,3,3,0,8.0,course.php?prog=901&course_code=9010528
IS529,SOFTWARE PROJECT MANAGEMENT,3,3,0,8.0,course.php?prog=901&course_code=9010529
IS530,E-TRANSFORMATION AND MANAGEMENT,3,3,0,8.0,course.php?prog=901&course_code=9010530
IS531,INNOVATION MANAGEMENT,3,3,0,8.0,course.php?prog=901&course_code=9010531
IS533,DECISION SUPPORT SYSTEMS,3,3,0,8.0,course.php?prog=901&course_code=9010533
IS534,KNOWLEDGE-BASED SYSTEM,3,3,0,8.0,course.php?prog=901&course_code=9010534
IS535,REGULATORY AND LEGAL ASPECTS OF INFORMATION SYSTEMS,3,3,0,8.0,course.php?prog=901&course_code=9010535
IS536,INFOR.SYS.INFRASTRUCTURE FOR CONT.OR.,3,3,0,8.0,course.php?prog=901&course_code=9010536
IS537,IT GOVERNANCE,3,3,0,8.0,course.php?prog=901&course_code=9010537
IS538,CONTEMPORARY SOCIO-TECHNICAL PERSPECTIVES IN INFORMATION SYSTEMS,3,3,0,8.0,course.php?prog=901&course_code=9010538
IS539,INFORMATION SYSTEMS IN ORGANIZATIONAL DESIGN AND APPLIED SYSTEMS THINKING,3,3,0,8.0,course.php?prog=901&course_code=9010539
IS540,INFORMATION TECHNOLOGY ACCEPTANCE IN ORGANISATIONS,3,3,0,8.0,course.php?prog=901&course_code=9010540
IS541,COMPUTER NETWORKING APPLICATIONS,3,3,0,8.0,course.php?prog=901&course_code=9010541
IS543,INFORMATION RETRIEVAL,3,3,0,8.0,course.php?prog=901&course_code=9010543
IS545,OBJECT ORIENTED PROGRAMMING AND DATA STRUCTURE,3,3,0,8.0,course.php?prog=901&course_code=9010545
IS547,CLOUD COMPUTING: TECHNOLOGY AND BUSINESS,3,3,0,8.0,course.php?prog=901&course_code=9010547
IS550,WEB SERVICES AND SERVICE-ORIENTED ARCHITECTURE,3,3,0,8.0,course.php?prog=901&course_code=9010550
IS551,COMPUTER SECURITY AND CRYPTOGRAPHY,3,3,0,8.0,course.php?prog=901&course_code=9010551
IS566,IMAGE PROCESSING ALGORITHMS,3,3,0,8.0,course.php?prog=901&course_code=9010566
IS571,SECURITY ENGINEERING,3,3,0,8.0,course.php?prog=901&course_code=9010571
IS572,INTRODUCTION TO MEDICAL INFORMATICS,3,3,0,8.0,course.php?prog=901&course_code=9010572
IS573,HUMAN COMPUTER INTERACTION,3,3,0,8.0,course.php?prog=901&course_code=9010573
IS574,MEDICAL IMAGING TECHNOLOGY,3,3,0,8.0,course.php?prog=901&course_code=9010574
IS577,TECHNOLOGY ENTREPRENEURSHIP AND LEAN STARTUPS,3,3,0,8.0,course.php?prog=901&course_code=9010577
IS580,"KNOWLEDGE, DISCOVERY AND MINING",3,3,0,8.0,course.php?prog=901&course_code=9010580
IS583,SOCIAL MEDIA ANALYTICS,3,3,0,8.0,course.php?prog=901&course_code=9010583
IS584,DEEP LEARNING FOR TEXT ANALYTICS,3,3,0,8.0,course.php?prog=901&course_code=9010584
IS585,SOCIAL NETWORK ANALYSIS,3,3,0,8.0,course.php?prog=901&course_code=9010585
IS586,DATA DRIVEN ORGANIZATIONS,3,3,0,8.0,course.php?prog=901&course_code=9010586
IS587,BIG DATA,3,3,0,8.0,course.php?prog=901&course_code=9010587
IS589,TERM PROJECT,0,0,0,20.0,course.php?prog=901&course_code=9010589
IS590,GRADUATE SEMINAR,0,0,2,10.0,course.php?prog=901&course_code=9010590
IS599,MASTER THESIS,0,0,0,50.0,course.php?prog=901&course_code=9010599
IS690,GRADUATE SEMINAR,0,0,2,10.0,course.php?prog=901&course_code=9010690
IS699,PH.D. THESIS,0,0,0,130.0,course.php?prog=901&course_code=9010699
IS703,ADVANCED INTERNET ARCHITECTURE,3,3,0,8.0,course.php?prog=901&course_code=9010703
IS704,DATA WAREHOUS.IN HEALTH CARE&MED.FUND.A,3,3,0,8.0,course.php?prog=901&course_code=9010704
IS705,NATURAL INTELLIGENCE STUDIES,3,3,0,8.0,course.php?prog=901&course_code=9010705
IS707,FORMAL VERIFICATION-THEORY AND PRACTICE,3,3,0,8.0,course.php?prog=901&course_code=9010707
IS710,ENERGY INFORMATICS,3,3,0,8.0,course.php?prog=901&course_code=9010710
IS712,SPECIAL TOPICS IN IS:SIMULATION AND GAMES,3,3,0,8.0,course.php?prog=901&course_code=9010712
IS714,WIRELESS NETWORKS,3,3,0,8.0,course.php?prog=901&course_code=9010714
IS715,GAME THEORY IN DATA NETWORKING,3,3,0,8.0,course.php?prog=901&course_code=9010715
IS721,BUSINESS PROCESS MANAGEMENT,3,0,0,8.0,course.php?prog=901&course_code=9010721
IS722,SYSTEMS ENGINEERING,3,0,0,8.0,course.php?prog=901&course_code=9010722
IS724,INTRODUCTION TO SOFTWARE TESTING,3,3,0,8.0,course.php?prog=901&course_code=9010724
IS725,MOBILE SOFTWARE ENGINEERING,3,3,0,8.0,course.php?prog=901&course_code=9010725
IS732,KNOWLEDGE MANAGEMENT AND TECHNOLOGIES,3,3,0,8.0,course.php?prog=901&course_code=9010732
IS742,SENSOR NETWORKS,3,3,0,8.0,course.php?prog=901&course_code=9010742
IS744,INTRODUCTION TO GRID COMPUTING,3,3,0,8.0,course.php?prog=901&course_code=9010744
IS749,DEVOPS ESSENTIALS,3,0,0,8.0,course.php?prog=901&course_code=9010749
IS752,INFORMATION SECURITY MANAGEMENT,3,3,0,8.0,course.php?prog=901&course_code=9010752
IS754,SOFTWARE METRICS,3,3,0,8.0,course.php?prog=901&course_code=9010754
IS755,INTRODUCTION TO MODELING & SIMULATION (M&S) CONCEPT,3,3,0,8.0,course.php?prog=901&course_code=9010755
IS768,APPLICATIONS OF AUDIO INFORMATION SYSTEMS,3,0,0,8.0,course.php?prog=901&course_code=9010768
IS782,PRINCIPLES OF GEOSPATIAL INFORMATION TECHNOLOGIES,3,3,0,8.0,course.php?prog=901&course_code=9010782
IS788,"DIGITAL TRANSFORMATION: MANAGEMENT, TECHNOLOGY AND ORGANIZATION",3,3,0,8.0,course.php?prog=901&course_code=9010788
