Semester,Program Code,Program Short Name,Course Code,Course Name,Credit,ECTS Credit,Course Section,Capacity,Day1,Start Hour1,End Hour1,Instructor Name,Instructor Title
2023-2024 Spring,909,MMI,9090513,ALGORITHMS FOR INTERACTIVE SYSTEMS,3,8.0,1,20,Wednesday,09:40,12:30,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2023-2024 Spring,909,MMI,9090522,PROCEDURAL SOUND DESIGN,3,8.0,1,15,Monday,09:40,12:30,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2023-2024 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,1,20,,,,HANDE ALEMDAR,Assoc.Prof.Dr.
2023-2024 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,2,20,,,,STAFF,-
2023-2024 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,3,20,,,,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2023-2024 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,4,20,,,,UĞUR HALICI,Prof.Dr.
2023-2024 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,5,20,,,,AHMET OĞUZ AKYÜZ,Prof.Dr.
2023-2024 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,6,20,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2023-2024 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,7,20,,,,SANİYE TUĞBA TOKEL,Prof.Dr.
2023-2024 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,8,20,,,,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
2023-2024 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,9,20,,,,GÖKNUR KAPLAN,Assoc.Prof.Dr.
2023-2024 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,10,20,,,,YUSUF SAHİLLİOĞLU,Prof.Dr.
2023-2024 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,11,20,,,,ELİF SÜRER,Assoc.Prof.Dr.
2023-2024 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,12,20,,,,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
2023-2024 Spring,909,MMI,9090699,PH.D. THESIS,0,130.0,1,20,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2023-2024 Spring,909,MMI,9090699,PH.D. THESIS,0,130.0,2,20,,,,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2023-2024 Spring,909,MMI,9090699,PH.D. THESIS,0,130.0,3,20,,,,ELİF SÜRER,Assoc.Prof.Dr.
2023-2024 Spring,909,MMI,9090699,PH.D. THESIS,0,130.0,4,20,,,,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
2023-2024 Spring,909,MMI,9090700,RESEARCH METHODS AND ETHICS,0,10.0,1,70,Monday,12:40,13:30,SERKAN ÖZDEMİR,Res.Dr.
2023-2024 Spring,909,MMI,9090706,REINFORCEMENT LEARNING,3,8.0,1,23,Thursday,09:40,12:30,ELİF SÜRER,Assoc.Prof.Dr.
2023-2024 Spring,909,MMI,9090711,SEQUENCE MODELS IN MULTIMEDIA,3,8.0,1,20,Friday,09:40,12:30,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
2023-2024 Spring,909,MMI,9090713,APPLIED PARALLEL PROGRAMMING ON GPU,3,8.0,1,20,Monday,13:40,16:30,ALPTEKİN TEMİZEL,Prof.Dr.
2023-2024 Spring,909,MMI,9090716,Game Programming Patterns,3,8.0,1,20,Thursday,13:40,16:30,ELİF SÜRER,Assoc.Prof.Dr.
2023-2024 Spring,909,MMI,9090801,SPECIAL STUDIES,0,10.0,1,20,,,,HANDE ALEMDAR,Assoc.Prof.Dr.
2023-2024 Spring,909,MMI,9090802,SPECIAL STUDIES,0,10.0,1,20,,,,STAFF,-
2023-2024 Spring,909,MMI,9090803,SPECIAL STUDIES,0,10.0,1,20,Friday,08:40,12:30,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2023-2024 Spring,909,MMI,9090804,SPECIAL STUDIES,0,15.0,1,20,,,,UĞUR HALICI,Prof.Dr.
2023-2024 Spring,909,MMI,9090805,SPECIAL STUDIES,0,15.0,1,20,,,,AHMET OĞUZ AKYÜZ,Prof.Dr.
2023-2024 Spring,909,MMI,9090806,SPECIAL STUDIES,0,15.0,1,20,Wednesday,08:40,12:30,ALPTEKİN TEMİZEL,Prof.Dr.
2023-2024 Spring,909,MMI,9090807,SPECIAL STUDIES,0,15.0,1,20,,,,SANİYE TUĞBA TOKEL,Prof.Dr.
2023-2024 Spring,909,MMI,9090808,SPECIAL STUDIES,0,15.0,1,20,Friday,13:40,17:30,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
2023-2024 Spring,909,MMI,9090809,SPECIAL STUDIES,0,15.0,1,20,,,,GÖKNUR KAPLAN,Assoc.Prof.Dr.
2023-2024 Spring,909,MMI,9090810,SPECIAL STUDIES,0,15.0,1,20,,,,YUSUF SAHİLLİOĞLU,Prof.Dr.
2023-2024 Spring,909,MMI,9090811,SPECIAL STUDIES,0,15.0,1,20,Monday,08:40,12:30,ELİF SÜRER,Assoc.Prof.Dr.
2023-2024 Spring,909,MMI,9090812,SPECIAL STUDIES,0,15.0,1,20,,,,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
2023-2024 Spring,909,MMI,9090901,ADVANCED STUDIES,0,70.0,1,20,Tuesday,12:40,16:30,ALPTEKİN TEMİZEL,Prof.Dr.
2023-2024 Spring,909,MMI,9090902,ADVANCED STUDIES,0,70.0,1,20,Thursday,09:40,13:30,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2023-2024 Spring,909,MMI,9090903,ADVANCED STUDIES,0,70.0,1,20,Tuesday,12:40,16:30,ELİF SÜRER,Assoc.Prof.Dr.
2023-2024 Spring,909,MMI,9090904,ADVANCED STUDIES,0,70.0,1,20,Monday,08:40,12:30,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
