Course Code,Course Name,METU Credit,Contact (h/w),Lab (h/w),ECTS,URL
COGS536,RESEARCH METHODS AND STATISTICS FOR COGNITIVE SCIENCE,3,3,0,8.0,course.php?prog=902&course_code=9020536
COGS537,DYNAMICAL APPROACHES TO COGNITIVE SCIENCE,3,0,0,8.0,course.php?prog=902&course_code=9020537
COGS538,CONSCIOUSNESS AND COGNITION,3,0,0,8.0,course.php?prog=902&course_code=9020538
COGS541,LANGUAGE ACQUISITION,3,3,0,8.0,course.php?prog=902&course_code=9020541
COGS542,"GRAMMARS, COMBINATORS AND COGNITION",3,0,0,8.0,course.php?prog=902&course_code=9020542
COGS543,COMPUTATIONAL SEMANTICS,3,3,0,8.0,course.php?prog=902&course_code=9020543
COGS551,HUMAN MEMORY,3,3,0,8.0,course.php?prog=902&course_code=9020551
COGS552,THOUGHT AND LANGUAGE PROCESSES,3,3,0,8.0,course.php?prog=902&course_code=9020552
COGS553,PSYCHOLOGY OF READING,3,3,0,8.0,course.php?prog=902&course_code=9020553
COGS555,CONNECTION.AND HUMAN BEHAVIOR,3,3,0,8.0,course.php?prog=902&course_code=9020555
COGS556,VISUAL COGNITION,3,3,0,8.0,course.php?prog=902&course_code=9020556
COGS557,SITUATED AND DISTRIBUTED COGNITION,3,3,0,8.0,course.php?prog=902&course_code=9020557
COGS558,"THINKING, REASONING & PROBLEM SOLVING",3,0,0,8.0,course.php?prog=902&course_code=9020558
COGS559,COGNITIVE NEUROPHYSIOLOGY,3,3,0,8.0,course.php?prog=902&course_code=9020559
COGS566,PROBABILISTIC MODELS OF COGNITION,3,0,0,8.0,course.php?prog=902&course_code=9020566
COGS567,COLLECTIVE INTELLIGENCE,3,3,0,8.0,course.php?prog=902&course_code=9020567
COGS579,PHILOSOPHY OF COMPUTER SCIENCE,3,3,0,8.0,course.php?prog=902&course_code=9020579
COGS589,MASTERS WITHOUT THESIS GRADUATION PROJECT,0,0,0,5.0,course.php?prog=902&course_code=9020589
COGS590,GRADUATE SEMINAR,0,0,2,10.0,course.php?prog=902&course_code=9020590
COGS595,AFFECTIVE NEUROSCIENCE AND COMPUTING,3,3,0,8.0,course.php?prog=902&course_code=9020595
COGS599,MASTER THESIS,0,0,0,50.0,course.php?prog=902&course_code=9020599
COGS690,GRADUATE SEMINAR,0,0,2,10.0,course.php?prog=902&course_code=9020690
COGS699,PH.D. THESIS,0,0,0,130.0,course.php?prog=902&course_code=9020699
COGS752,COG.PSY AND ELECT.OF INF.PROCESSING,3,3,0,8.0,course.php?prog=902&course_code=9020752
COGS758,TIME AND COGNITION,3,3,0,8.0,course.php?prog=902&course_code=9020758
