Course Code,Course Name,METU Credit,Contact (h/w),Lab (h/w),ECTS,URL
COGS500,RESEARCH METHODS AND ETHICS IN COGNITIVE SCIENCE,0,1,0,5.0,course.php?prog=902&course_code=9020500
COGS501,ALGORITHMIC STRUCTURES IN COGNITION,3,3,0,8.0,course.php?prog=902&course_code=9020501
COGS502,SYMBOLS AND PROGRAMMING,3,3,0,8.0,course.php?prog=902&course_code=9020502
COGS503,"TOPICS, RESEARCH METHODS AND ETHICS IN COGNITIVE SCIENCE",1,0,0,3.0,course.php?prog=902&course_code=9020503
COGS504,NATURAL AND ARTIFICIAL MINDS,3,0,0,8.0,course.php?prog=902&course_code=9020504
COGS505,LINGUISTICS IN COGNITIVE SCIENCE,3,3,0,8.0,course.php?prog=902&course_code=9020505
COGS507,COGNITIVE SCIENCE PRIMER I,1,1,0,5.0,course.php?prog=902&course_code=9020507
COGS508,COGNITIVE SCIENCE PRIMER II,1,1,0,5.0,course.php?prog=902&course_code=9020508
COGS511,COMPUTATIONAL MODELS OF MIND,3,3,0,8.0,course.php?prog=902&course_code=9020511
COGS512,COGNITIVE ALGORITHMS,3,3,0,8.0,course.php?prog=902&course_code=9020512
COGS514,COGNITION AND MACHINE LEARNING,3,0,0,8.0,course.php?prog=902&course_code=9020514
COGS515,ARTIFICIAL INTELLIGENCE FOR COGNITIVE SCIENCE,3,3,0,8.0,course.php?prog=902&course_code=9020515
COGS516,INTRODUCTION TO PROBABILISTIC PROGRAMMING,3,0,0,8.0,course.php?prog=902&course_code=9020516
COGS517,PHILOSOPHY OF COGNITIVE SCIENCE,3,3,0,8.0,course.php?prog=902&course_code=9020517
COGS519,THE GROUNDING OF LANGUAGE AND COGNITION IN PERCEPTION,3,3,0,8.0,course.php?prog=902&course_code=9020519
COGS520,ADVANCED RESEARCH ON LINGUISTICS IN COGNITIVE IN SCIENCE,3,3,0,8.0,course.php?prog=902&course_code=9020520
COGS522,LEXICAL SEMANTICS,3,3,0,8.0,course.php?prog=902&course_code=9020522
COGS523,USING CORPORA FOR LANGUAGE RESEARCH,3,3,0,8.0,course.php?prog=902&course_code=9020523
COGS524,COGNITIVE AND LINGUISTIC ASPECTS OF SIGN LANGUAGE,3,3,0,8.0,course.php?prog=902&course_code=9020524
COGS525,COGNITIVE SEMANTICS,3,3,0,8.0,course.php?prog=902&course_code=9020525
COGS526,MEANING AND LOGIC,3,3,0,8.0,course.php?prog=902&course_code=9020526
COGS527,DYNAMIC SEMANTICS,3,0,0,8.0,course.php?prog=902&course_code=9020527
COGS528,DISCOURSE MECHANISMS,3,3,0,8.0,course.php?prog=902&course_code=9020528
COGS530,MODERN THEORY OF GRAMMAR,3,3,0,8.0,course.php?prog=902&course_code=9020530
COGS531,LANGUAGE AND COGNITION,3,3,0,8.0,course.php?prog=902&course_code=9020531
COGS532,THEORETICAL LINGUISTICS,3,3,0,8.0,course.php?prog=902&course_code=9020532
COGS533,FUNCTIONAL NEUROANATOMY,3,3,0,8.0,course.php?prog=902&course_code=9020533
COGS534,COGNITION PERCEPTION AND ACTION,3,3,0,8.0,course.php?prog=902&course_code=9020534
COGS535,COGNITIVE DEVELOPMENT,3,3,0,8.0,course.php?prog=902&course_code=9020535
