Semester,Program Code,Program Short Name,Course Code,Course Name,Credit,ECTS Credit,Course Section,Capacity,Day1,Start Hour1,End Hour1,Instructor Name,Instructor Title
2022-2023 Spring,904,ION,9040501,INTRODUCTION TO INFORMATION SYS.,3,8.0,1,20,Monday,17:40,20:30,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
2022-2023 Spring,904,ION,9040503,DATABASE CONCEPTS AND APPLICATIONS,3,8.0,1,20,Wednesday,17:40,20:30,TUĞBA TAŞKAYA TEMİZEL,Prof.Dr.
2022-2023 Spring,904,ION,9040504,COMPUTER NETWORKING FOR IS,3,8.0,1,20,,,,ALTAN KOÇYİĞİT,Prof.Dr.
2022-2023 Spring,904,ION,9040589,MS PROJECT,0,20.0,1,5,,,,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
2022-2023 Spring,904,ION,9040892,SPECIAL STUDIES,0,10.0,1,20,,,,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
