Semester|Program Code|Program Short Name|Course Code|Course Name|Credit|ECTS Credit|Course Section|Capacity|Day1|Start Hour1|End Hour1|Instructor Name|Instructor Title|Language of Instruction|Level of Study|Course Objectives|Course Learning Outcomes|Course Content
2024-2025 Fall|904|ION|9040589|MS PROJECT|0|20.0|1|3||||SEVGİ ÖZKAN YILDIRIM|Prof.Dr.|English|Graduate|||Sorry no data is found for the course objective.
2024-2025 Fall|904|ION|9040892|SPECIAL STUDIES|0|10.0|1|1||||STAFF|-|||||
