Semester,Program Code,Program Short Name,Course Code,Course Name,Credit,ECTS Credit,Course Section,Capacity,Day1,Start Hour1,End Hour1,Instructor Name,Instructor Title
2024-2025 Fall,909,MMI,9090505,GAME DEVELOPMENT PIPELINE,3,8.0,1,20,Thursday,09:40,12:30,ELİF SÜRER,Assoc.Prof.Dr.
2024-2025 Fall,909,MMI,9090513,ALGORITHMS FOR INTERACTIVE SYSTEMS,3,8.0,1,15,Wednesday,09:40,12:30,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2024-2025 Fall,909,MMI,9090522,PROCEDURAL SOUND DESIGN,3,8.0,1,15,Friday,09:40,12:30,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2024-2025 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,1,5,,,,HANDE ALEMDAR,Assoc.Prof.Dr.
2024-2025 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,2,0,,,,STAFF,-
2024-2025 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,3,15,,,,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2024-2025 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,4,0,,,,UĞUR HALICI,Prof.Dr.
2024-2025 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,5,5,,,,AHMET OĞUZ AKYÜZ,Prof.Dr.
2024-2025 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,6,15,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2024-2025 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,7,5,,,,SANİYE TUĞBA TOKEL,Prof.Dr.
2024-2025 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,8,15,,,,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
2024-2025 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,9,5,,,,GÖKNUR KAPLAN,Assoc.Prof.Dr.
2024-2025 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,10,5,,,,YUSUF SAHİLLİOĞLU,Prof.Dr.
2024-2025 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,11,15,,,,ELİF SÜRER,Assoc.Prof.Dr.
2024-2025 Fall,909,MMI,9090599,MASTERS THESIS,0,50.0,12,5,,,,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
2024-2025 Fall,909,MMI,9090699,PH.D. THESIS,0,130.0,1,10,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2024-2025 Fall,909,MMI,9090699,PH.D. THESIS,0,130.0,2,10,,,,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2024-2025 Fall,909,MMI,9090699,PH.D. THESIS,0,130.0,3,10,,,,ELİF SÜRER,Assoc.Prof.Dr.
2024-2025 Fall,909,MMI,9090699,PH.D. THESIS,0,130.0,4,5,,,,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
2024-2025 Fall,909,MMI,9090712,MACHINE LEARNING SYSTEMS DESIGN AND DEPLOYMENT,3,8.0,1,27,Wednesday,13:40,16:30,ALPTEKİN TEMİZEL,Prof.Dr.
2024-2025 Fall,909,MMI,9090714,GENERATIVE MODELS FOR MULTIMEDIA,3,8.0,1,20,Friday,09:40,12:30,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
2024-2025 Fall,909,MMI,9090727,DEEP LEARNING: METHODS AND APPLICATIONS,3,8.0,1,15,Monday,13:40,16:30,ALPTEKİN TEMİZEL,Prof.Dr.
2024-2025 Fall,909,MMI,9090801,SPECIAL STUDIES,0,10.0,1,0,,,,HANDE ALEMDAR,Assoc.Prof.Dr.
2024-2025 Fall,909,MMI,9090802,SPECIAL STUDIES,0,10.0,1,0,,,,STAFF,-
2024-2025 Fall,909,MMI,9090803,SPECIAL STUDIES,0,10.0,1,15,Tuesday,08:40,12:30,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2024-2025 Fall,909,MMI,9090804,SPECIAL STUDIES,0,15.0,1,5,,,,UĞUR HALICI,Prof.Dr.
2024-2025 Fall,909,MMI,9090805,SPECIAL STUDIES,0,15.0,1,5,,,,AHMET OĞUZ AKYÜZ,Prof.Dr.
2024-2025 Fall,909,MMI,9090806,SPECIAL STUDIES,0,15.0,1,15,Wednesday,08:40,12:30,ALPTEKİN TEMİZEL,Prof.Dr.
2024-2025 Fall,909,MMI,9090807,SPECIAL STUDIES,0,15.0,1,5,,,,SANİYE TUĞBA TOKEL,Prof.Dr.
2024-2025 Fall,909,MMI,9090808,SPECIAL STUDIES,0,15.0,1,15,Friday,13:40,17:30,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
2024-2025 Fall,909,MMI,9090809,SPECIAL STUDIES,0,15.0,1,5,,,,GÖKNUR KAPLAN,Assoc.Prof.Dr.
2024-2025 Fall,909,MMI,9090810,SPECIAL STUDIES,0,15.0,1,5,,,,YUSUF SAHİLLİOĞLU,Prof.Dr.
2024-2025 Fall,909,MMI,9090811,SPECIAL STUDIES,0,15.0,1,15,Monday,08:40,10:30,ELİF SÜRER,Assoc.Prof.Dr.
2024-2025 Fall,909,MMI,9090812,SPECIAL STUDIES,0,15.0,1,0,,,,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
2024-2025 Fall,909,MMI,9090901,ADVANCED STUDIES,0,70.0,1,10,Monday,08:40,12:30,ALPTEKİN TEMİZEL,Prof.Dr.
2024-2025 Fall,909,MMI,9090902,ADVANCED STUDIES,0,70.0,1,10,Thursday,09:40,13:30,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2024-2025 Fall,909,MMI,9090903,ADVANCED STUDIES,0,70.0,1,10,Wednesday,12:40,14:30,ELİF SÜRER,Assoc.Prof.Dr.
2024-2025 Fall,909,MMI,9090904,ADVANCED STUDIES,0,70.0,1,10,Thursday,13:40,17:30,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
