Semester,Program Code,Program Short Name,Course Code,Course Name,Credit,ECTS Credit,Course Section,Capacity,Day1,Start Hour1,End Hour1,Instructor Name,Instructor Title
2024-2025 Fall,902,COGS,9020501,ALGORITHMIC STRUCTURES IN COGNITION,3,8.0,1,25,Wednesday,14:40,17:30,UMUT ÖZGE,Assist.Prof.Dr
2024-2025 Fall,902,COGS,9020507,COGNITIVE SCIENCE PRIMER I,1,5.0,1,25,Monday,12:40,13:30,MURAT PERİT ÇAKIR,Assoc.Prof.Dr.
2024-2025 Fall,902,COGS,9020515,ARTIFICIAL INTELLIGENCE FOR COGNITIVE SCIENCE,3,8.0,1,15,Wednesday,08:40,11:30,BARBAROS YET,Assoc.Prof.Dr.
2024-2025 Fall,902,COGS,9020532,THEORETICAL LINGUISTICS,3,8.0,1,25,Thursday,14:40,17:30,UMUT ÖZGE,Assist.Prof.Dr
2024-2025 Fall,902,COGS,9020536,RESEARCH METHODS AND STATISTICS FOR COGNITIVE SCIENCE,3,8.0,1,15,Tuesday,11:40,14:30,MURAT PERİT ÇAKIR,Assoc.Prof.Dr.
2024-2025 Fall,902,COGS,9020566,PROBABILISTIC MODELS OF COGNITION,3,8.0,1,17,Thursday,08:40,11:30,BARBAROS YET,Assoc.Prof.Dr.
2024-2025 Fall,902,COGS,9020567,COLLECTIVE INTELLIGENCE,3,8.0,1,15,Tuesday,14:40,17:30,MURAT ULUBAY,Assist.Prof.Dr
2024-2025 Fall,902,COGS,9020589,MASTERS WITHOUT THESIS GRADUATION PROJECT,0,5.0,1,0,,,,STAFF,-
2024-2025 Fall,902,COGS,9020589,MASTERS WITHOUT THESIS GRADUATION PROJECT,0,5.0,2,0,,,,STAFF,-
2024-2025 Fall,902,COGS,9020589,MASTERS WITHOUT THESIS GRADUATION PROJECT,0,5.0,3,0,,,,STAFF,-
2024-2025 Fall,902,COGS,9020589,MASTERS WITHOUT THESIS GRADUATION PROJECT,0,5.0,4,5,,,,MURAT PERİT ÇAKIR,Assoc.Prof.Dr.
2024-2025 Fall,902,COGS,9020589,MASTERS WITHOUT THESIS GRADUATION PROJECT,0,5.0,5,5,,,,UMUT ÖZGE,Assist.Prof.Dr
2024-2025 Fall,902,COGS,9020589,MASTERS WITHOUT THESIS GRADUATION PROJECT,0,5.0,6,0,,,,STAFF,-
2024-2025 Fall,902,COGS,9020589,MASTERS WITHOUT THESIS GRADUATION PROJECT,0,5.0,7,5,,,,BARBAROS YET,Assoc.Prof.Dr.
