Course Code,Course Name,METU Credit,Contact (h/w),Lab (h/w),ECTS,URL
MS501,DETERMINISTIC DECISION MODELS,3,3,0,8.0,course.php?prog=903&course_code=9030501
MS502,STOCHASTIC DECISION MODELS,3,3,0,8.0,course.php?prog=903&course_code=9030502
MS503,MATH.MODELLING AND APPLICATIONS,3,3,0,8.0,course.php?prog=903&course_code=9030503
MS504,MATH. MODELS IN DEFENSE ANALYSIS,3,3,0,8.0,course.php?prog=903&course_code=9030504
MS506,COMBINATORIAL ANALYSIS,3,3,0,8.0,course.php?prog=903&course_code=9030506
MS513,DECISION ANALYSIS,3,3,0,8.0,course.php?prog=903&course_code=9030513
MS515,SYSTEMS SIMULATION,3,3,0,8.0,course.php?prog=903&course_code=9030515
MS521,OBJECT-ORIENDTED PROGRAMMING,3,3,0,8.0,course.php?prog=903&course_code=9030521
MS522,COMPUTER GRAPHICS,3,3,0,8.0,course.php?prog=903&course_code=9030522
MS531,DISTRIBUTED INTERACTIVE SIMULATION,4,3,2,10.0,course.php?prog=903&course_code=9030531
MS590,GRADUATE SEMINAR,0,0,2,10.0,course.php?prog=903&course_code=9030590
MS591,RESEARCH METHODS IN MODSIM,3,3,0,10.0,course.php?prog=903&course_code=9030591
MS592,MS PROJECT,0,0,0,20.0,course.php?prog=903&course_code=9030592
MS701,LOGISTICS ENGINEERING AND MANAGEMENT,3,3,0,8.0,course.php?prog=903&course_code=9030701
MS724,SELECTED TOPICS IN MODSIM:GAMING AND VIRTUAL ENVIRONMENTS,3,3,0,8.0,course.php?prog=903&course_code=9030724
