Semester,Program Code,Program Short Name,Course Code,Course Name,Credit,ECTS Credit,Course Section,Capacity,Day1,Start Hour1,End Hour1,Instructor Name,Instructor Title
2022-2023 Fall,911,DI,9110501,INTRODUCTION TO DATA INFORMATICS,3,8.0,1,31,Monday,09:40,12:30,TUĞBA TAŞKAYA TEMİZEL,Prof.Dr.
2022-2023 Fall,911,DI,9110502,DATA INFORMATICS PROJECT,3,8.0,1,19,Thursday,09:40,12:30,TUĞBA TAŞKAYA TEMİZEL,Prof.Dr.
2022-2023 Fall,911,DI,9110592,MATHEMATICS FOR DATA INFORMATICS,3,8.0,1,20,Friday,09:40,12:30,SERKAN KAYGIN,Lecturer Dr.
2022-2023 Fall,911,DI,9110599,MASTER THESIS,0,50.0,1,20,,,,PEKİN ERHAN EREN,Prof.Dr.
2022-2023 Fall,911,DI,9110599,MASTER THESIS,0,50.0,2,20,,,,ELİF SÜRER,Assoc.Prof.Dr.
2022-2023 Fall,911,DI,9110599,MASTER THESIS,0,50.0,3,20,,,,TOLGA ESAT ÖZKURT,Assoc.Prof.Dr.
2022-2023 Fall,911,DI,9110599,MASTER THESIS,0,50.0,4,20,,,,BANU GÜNEL KILIÇ,Prof.Dr.
2022-2023 Fall,911,DI,9110599,MASTER THESIS,0,50.0,5,20,,,,ÖZDEN ÖZCAN TOP,Assist.Prof.Dr
2022-2023 Fall,911,DI,9110599,MASTER THESIS,0,50.0,6,20,,,,TUĞBA TAŞKAYA TEMİZEL,Prof.Dr.
2022-2023 Fall,911,DI,9110599,MASTER THESIS,0,50.0,7,20,,,,BURÇAK OTLU SARITAŞ,Assist.Prof.Dr
2022-2023 Fall,911,DI,9110599,MASTER THESIS,0,50.0,8,20,,,,ALTAN KOÇYİĞİT,Prof.Dr.
2022-2023 Fall,911,DI,9110801,SPECIAL STUDIES,0,10.0,1,20,,,,PEKİN ERHAN EREN,Prof.Dr.
2022-2023 Fall,911,DI,9110802,SPECIAL STUDIES,0,10.0,1,20,,,,ELİF SÜRER,Assoc.Prof.Dr.
2022-2023 Fall,911,DI,9110803,SPECIAL STUDIES,0,10.0,1,20,,,,TOLGA ESAT ÖZKURT,Assoc.Prof.Dr.
2022-2023 Fall,911,DI,9110804,SPECIAL STUDIES,0,10.0,1,20,,,,BANU GÜNEL KILIÇ,Prof.Dr.
2022-2023 Fall,911,DI,9110805,SPECIAL STUDIES,0,10.0,1,20,,,,ÖZDEN ÖZCAN TOP,Assist.Prof.Dr
2022-2023 Fall,911,DI,9110806,SPECIAL STUDIES,0,10.0,1,20,,,,TUĞBA TAŞKAYA TEMİZEL,Prof.Dr.
2022-2023 Fall,911,DI,9110807,SPECIAL STUDIES,0,10.0,1,20,,,,BURÇAK OTLU SARITAŞ,Assist.Prof.Dr
2022-2023 Fall,911,DI,9110808,SPECIAL STUDIES,0,10.0,1,20,,,,ALTAN KOÇYİĞİT,Prof.Dr.
