Semester,Program Code,Program Short Name,Course Code,Course Name,Credit,ECTS Credit,Course Section,Capacity,Day1,Start Hour1,End Hour1,Instructor Name,Instructor Title
2020-2021 Spring,909,MMI,9090508,GAME METRICS,3,8.0,1,20,Tuesday,13:40,16:30,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2020-2021 Spring,909,MMI,9090522,PROCEDURAL SOUND DESIGN,3,8.0,1,20,Thursday,13:40,16:30,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2020-2021 Spring,909,MMI,9090541,PHYSICS FOR COMPUTER GAMES,3,8.0,1,25,Thursday,13:40,16:30,ELİF SÜRER,Assoc.Prof.Dr.
2020-2021 Spring,909,MMI,9090590,GRADUATE SEMINAR,0,10.0,1,20,Wednesday,12:40,13:30,ELİF SÜRER,Assoc.Prof.Dr.
2020-2021 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,1,5,,,,HANDE ALEMDAR,Assoc.Prof.Dr.
2020-2021 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,2,5,,,,KÜRŞAT ÇAĞILTAY,Prof.Dr.
2020-2021 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,3,15,,,,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2020-2021 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,4,5,,,,UĞUR HALICI,Prof.Dr.
2020-2021 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,5,5,,,,AHMET OĞUZ AKYÜZ,Prof.Dr.
2020-2021 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,6,10,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2020-2021 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,7,5,,,,CENGİZ ACARTÜRK,Assoc.Prof.Dr.
2020-2021 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,8,6,,,,ERDEM AKAGÜNDÜZ,Assoc.Prof.Dr.
2020-2021 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,9,5,,,,GÖKNUR KAPLAN,Assoc.Prof.Dr.
2020-2021 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,10,5,,,,YUSUF SAHİLLİOĞLU,Prof.Dr.
