Semester,Program Code,Program Short Name,Course Code,Course Name,Credit,ECTS Credit,Course Section,Capacity,Day1,Start Hour1,End Hour1,Instructor Name,Instructor Title
2019-2020 Spring,909,MMI,9090508,GAME METRICS,3,8.0,1,16,Friday,13:40,16:30,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2019-2020 Spring,909,MMI,9090522,PROCEDURAL SOUND DESIGN,3,8.0,1,15,Tuesday,13:40,16:30,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2019-2020 Spring,909,MMI,9090541,PHYSICS FOR COMPUTER GAMES,3,8.0,1,15,Thursday,13:40,16:30,ELİF SÜRER,Assoc.Prof.Dr.
2019-2020 Spring,909,MMI,9090590,GRADUATE SEMINAR,0,10.0,1,20,Wednesday,12:40,13:30,ELİF SÜRER,Assoc.Prof.Dr.
2019-2020 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,1,5,,,,HANDE ALEMDAR,Assoc.Prof.Dr.
2019-2020 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,2,5,,,,KÜRŞAT ÇAĞILTAY,Prof.Dr.
2019-2020 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,3,15,,,,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2019-2020 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,4,5,,,,UĞUR HALICI,Prof.Dr.
2019-2020 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,5,5,,,,AHMET OĞUZ AKYÜZ,Prof.Dr.
2019-2020 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,6,15,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2019-2020 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,7,5,,,,CENGİZ ACARTÜRK,Assoc.Prof.Dr.
2019-2020 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,8,5,,,,SANİYE TUĞBA TOKEL,Prof.Dr.
2019-2020 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,9,5,,,,GÖKNUR KAPLAN,Assoc.Prof.Dr.
2019-2020 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,10,5,,,,YUSUF SAHİLLİOĞLU,Prof.Dr.
2019-2020 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,11,15,,,,ELİF SÜRER,Assoc.Prof.Dr.
2019-2020 Spring,909,MMI,9090599,MASTERS THESIS,0,50.0,12,5,,,,SEVGİ ÖZKAN YILDIRIM,Prof.Dr.
2019-2020 Spring,909,MMI,9090699,PH.D. THESIS,0,130.0,1,5,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2019-2020 Spring,909,MMI,9090699,PH.D. THESIS,0,130.0,2,5,,,,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2019-2020 Spring,909,MMI,9090699,PH.D. THESIS,0,130.0,3,5,,,,ELİF SÜRER,Assoc.Prof.Dr.
2019-2020 Spring,909,MMI,9090706,REINFORCEMENT LEARNING,3,8.0,1,15,Thursday,09:40,12:30,ELİF SÜRER,Assoc.Prof.Dr.
2019-2020 Spring,909,MMI,9090713,APPLIED PARALLEL PROGRAMMING ON GPU,3,8.0,1,21,Wednesday,13:40,16:30,ALPTEKİN TEMİZEL,Prof.Dr.
2019-2020 Spring,909,MMI,9090727,DEEP LEARNING: METHODS AND APPLICATIONS,3,8.0,1,23,Monday,13:40,16:30,ALPTEKİN TEMİZEL,Prof.Dr.
2019-2020 Spring,909,MMI,9090801,SPECIAL STUDIES,0,10.0,1,5,,,,HANDE ALEMDAR,Assoc.Prof.Dr.
2019-2020 Spring,909,MMI,9090802,SPECIAL STUDIES,0,10.0,1,5,,,,KÜRŞAT ÇAĞILTAY,Prof.Dr.
2019-2020 Spring,909,MMI,9090803,SPECIAL STUDIES,0,10.0,1,15,,,,HÜSEYİN HACIHABİBOĞLU,Prof.Dr.
2019-2020 Spring,909,MMI,9090804,SPECIAL STUDIES,0,15.0,1,5,,,,UĞUR HALICI,Prof.Dr.
2019-2020 Spring,909,MMI,9090805,SPECIAL STUDIES,0,15.0,1,5,,,,AHMET OĞUZ AKYÜZ,Prof.Dr.
2019-2020 Spring,909,MMI,9090806,SPECIAL STUDIES,0,15.0,1,15,,,,ALPTEKİN TEMİZEL,Prof.Dr.
2019-2020 Spring,909,MMI,9090807,SPECIAL STUDIES,0,15.0,1,5,,,,CENGİZ ACARTÜRK,Assoc.Prof.Dr.
2019-2020 Spring,909,MMI,9090808,SPECIAL STUDIES,0,15.0,1,5,,,,SANİYE TUĞBA TOKEL,Prof.Dr.
