Course Code,Course Name,METU Credit,Contact (h/w),Lab (h/w),ECTS,URL
DI500,RESEARCH METHODS AND ETHICS IN DATA INFORMATICS,0,0,0,10.0,course.php?prog=911&course_code=9110500
DI501,INTRODUCTION TO DATA INFORMATICS,3,3,0,8.0,course.php?prog=911&course_code=9110501
DI502,DATA INFORMATICS PROJECT,3,3,0,8.0,course.php?prog=911&course_code=9110502
DI504,FOUNDATIONS OF DEEP LEARNING,3,3,0,8.0,course.php?prog=911&course_code=9110504
DI590,GRADUATE SEMINAR,0,0,0,10.0,course.php?prog=911&course_code=9110590
DI592,MATHEMATICS FOR DATA INFORMATICS,3,3,0,8.0,course.php?prog=911&course_code=9110592
DI599,MASTER THESIS,0,0,0,50.0,course.php?prog=911&course_code=9110599
DI710,DATA ENGINEERING,3,0,0,8.0,course.php?prog=911&course_code=9110710
DI722,SPATIO-TEMPORAL DATA MINING,3,0,0,8.0,course.php?prog=911&course_code=9110722
DI725,Transformers and Attention-Based Deep Networks,3,3,0,8.0,course.php?prog=911&course_code=9110725
DI728,Data Analytics Applications in Gaming and Entertainment,3,3,0,8.0,course.php?prog=911&course_code=9110728
